Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
ChiseiInterrogation1_3425c459	ch	Yeah! I am not everyone's personal fortune cookie, I am a different kind of snack.	game/chapter_one_investigation.rpy	1225	"ch ""[what]"""
ChiseiInterrogation1_d0e80886	ch	I finally got you to smile!	game/chapter_one_investigation.rpy	1229	"ch ""[what]"""
prologue_chisei_e567cf98	ch	Am I in your way?	game/prologue.rpy	3631	"ch ""[what]"""
prologue_chisei_1af12464	ch	I will admit, I was hoping to postpone meeting new peers until the last possible moment.	game/prologue.rpy	3642	"ch ""[what]"""
prologue_chisei_cde1c5ec	ch	I supposed it would be better to introduce myself to one individual at a time then to the whole class...	game/prologue.rpy	3643	"ch ""[what]"""
prologue_chisei_94a66c8b	ch	I am going to turn around.	game/prologue.rpy	3644	"ch ""[what]"""
prologue_chisei_7746be2a	ch	I just do not mean to startle you. My appearance is substantially damaged.	game/prologue.rpy	3648	"ch ""[what]"""
prologue_chisei_297bf1d8	ch	It was from an accident. No, it does not still hurt and please do not touch me.	game/prologue.rpy	3649	"ch ""[what]"""
prologue_chisei_23ecb721	ch	.....	game/prologue.rpy	3656	"ch ""[what]"""
prologue_chisei_4ae92512	ch	All you have done is stare.	game/prologue.rpy	3664	"ch ""[what]"""
prologue_chisei_2807d50a	ch	Unless you have thought something uncouth, there is no need to apologize.	game/prologue.rpy	3665	"ch ""[what]"""
prologue_chisei_5d8bd27e	ch	No laughter. Perhaps my delivery was not whimsical enough?	game/prologue.rpy	3669	"ch ""[what]"""
prologue_chisei_2100fcda	ch	It is human nature to stare. We will both just have to wait until it gets boring for you.	game/prologue.rpy	3673	"ch ""[what]"""
prologue_chisei_c4620f75	ch	Another botched attempt.	game/prologue.rpy	3680	"ch ""[what]"""
prologue_chisei_fde54abe	ch	This is going to be a long year.	game/prologue.rpy	3684	"ch ""[what]"""
prologue_chisei_4e21103b	ch	It is not humanoid, but it serves me well. You are the second person to compliment it.	game/prologue.rpy	3690	"ch ""[what]"""
prologue_chisei_892e7828	ch	I guess you could say, its appeal has had a mass effect on people?	game/prologue.rpy	3694	"ch ""[what]"""
prologue_chisei_e341f7b5	ch	I have been waiting for someone to set me up for that all day!	game/prologue.rpy	3700	"ch ""[what]"""
prologue_chisei_fbfecdcf	ch	The best person to share a pun with is someone who hates them. That is just common knowledge.	game/prologue.rpy	3704	"ch ""[what]"""
prologue_chisei_dd558aab	ch	I am a playwright.	game/prologue.rpy	3714	"ch ""[what]"""
prologue_chisei_d3403f61	ch	I should be.	game/prologue.rpy	3718	"ch ""[what]"""
prologue_chisei_93547aaa	ch	I should be in classes that help me improve my skills as a writer and collaborate with other creatives.	game/prologue.rpy	3719	"ch ""[what]"""
prologue_chisei_0709462f	ch	But Guwon does not recognize 'dual' proficiencies so it does not matter how good my writing skills are anymore.	game/prologue.rpy	3720	"ch ""[what]"""
prologue_chisei_41a5770e	ch	Because something strange sometimes happens to me, I had to change majors.	game/prologue.rpy	3721	"ch ""[what]"""
prologue_chisei_f4d3e0f0	ch	Not by choice. Until I can gain full control of my other hand, I am stuck there.	game/prologue.rpy	3725	"ch ""[what]"""
prologue_chisei_a92a70ab	ch	We likely will not be in any of the same classes this year. I hope to be able to change that soon.	game/prologue.rpy	3729	"ch ""[what]"""
prologue_chisei_1a51a7bb	ch	Until then, if you happen upon any unsettling rumors, please feel free to address them with me directly.	game/prologue.rpy	3730	"ch ""[what]"""
prologue_chisei_652ded61	ch	I have become a channel for the unseen; well, my hand has anyway.	game/prologue.rpy	3734	"ch ""[what]"""
prologue_chisei_c198b46a	ch	People could claim any number of things about my writing; about me.	game/prologue.rpy	3735	"ch ""[what]"""
prologue_chisei_45f8ae99	ch	I figured the best plan is to handle it with complete transparency.	game/prologue.rpy	3736	"ch ""[what]"""
prologue_chisei_1a7041ca	ch	No. That is not something I have ever wanted to be.	game/prologue.rpy	3740	"ch ""[what]"""
prologue_chisei_98b4174d	ch	However, there is something at this school that is trying to take advantage of my hand's weakness and write messages with it.	game/prologue.rpy	3741	"ch ""[what]"""
prologue_chisei_abce4fc9	ch	...Yes.	game/prologue.rpy	3747	"ch ""[what]"""
prologue_chisei_3283aa03	ch	It does not want me to believe what others may say about you; that you are a good friend and an honest person.	game/prologue.rpy	3748	"ch ""[what]"""
prologue_chisei_23ecb721_1	ch	.....	game/prologue.rpy	3752	"ch ""[what]"""
prologue_chisei_91107c21	ch	Sometimes I think my mind is playing tricks on me.	game/prologue.rpy	3753	"ch ""[what]"""
prologue_chisei_996b2af2	ch	Maybe the teachers will see that and put me back with the normal Intelligence majors.	game/prologue.rpy	3754	"ch ""[what]"""
prologue_chisei_92f035c8	ch	I do not like the idea of invading someone's privacy.	game/prologue.rpy	3757	"ch ""[what]"""
prologue_chisei_584dc6ef	ch	It is hard for me to deny at this point. I just hold onto the prospect that one day I can get it to stop.	game/prologue.rpy	3761	"ch ""[what]"""
prologue_chisei_ae4a09a7	ch	Thank you.	game/prologue.rpy	3765	"ch ""[what]"""
prologue_chisei_5db3d1fa	ch	Well then, I must be off. Good day, Nagen. I hope you are able to find what you are looking for.	game/prologue.rpy	3766	"ch ""[what]"""
prologue_6852b541	cop	Please state your name and registered Proficiency.	game/prologue.rpy	16	"cop ""[what]"""
prologue_955fcaa6	cop	Look, you and I both know it's not looking good for you.	game/prologue.rpy	34	"cop ""[what]"""
prologue_a5203a9e	cop	I mean, you've heard the charges: premeditated murder, inciting a riot, mayhem, and menticide.	game/prologue.rpy	38	"cop ""[what]"""
prologue_5c4782b9	cop	These are all with a registered Proficiency which will add twenty-five more years to your sentence.	game/prologue.rpy	42	"cop ""[what]"""
prologue_8ff7ae17	cop	Don't even get me started on the use of deadly weapons.	game/prologue.rpy	46	"cop ""[what]"""
prologue_08dcde7d	cop	Just make this easier on yourself and fold. It'll be better than what your friends are going through.	game/prologue.rpy	154	"cop ""[what]"""
interrogation_1_22b00617	cop	That's not how the system works, kid.	game/prologue.rpy	182	"cop ""[what]"""
interrogation_1_591261de	cop	Do you believe you are guilty of these crimes?	game/prologue.rpy	219	"cop ""[what]"""
interrogation_2_4434ad43	cop	That's all we need to hear.	game/prologue.rpy	255	"cop ""[what]"""
interrogation_2_c5e5c3a7	cop	Do you know where Ms. Hato is?	game/prologue.rpy	317	"cop ""[what]"""
interrogation_3_d18d8ff9	cop	Mr. Tesuta, please answer the question.	game/prologue.rpy	427	"cop ""[what]"""
interrogation_end_1f5b1e73	cop	That's not how an interrogation works, Mr. Tesuta.	game/prologue.rpy	603	"cop ""[what]"""
interrogation_end_c2900460	cop	The terms have been set.	game/prologue.rpy	663	"cop ""[what]"""
interrogation_end_91a2a7d9	cop	If the Junior Gladiators complete the DVP's Villain Prevention Program and can prove they can integrate back into society, they will be issued a full pardon.	game/prologue.rpy	664	"cop ""[what]"""
interrogation_end_a20f350c	cop	If they are unable to do so, they will be tried as adults for their crimes in Guwon.	game/prologue.rpy	665	"cop ""[what]"""
interrogation_end_a0fa5fb0	cop	Do you agree to these terms?	game/prologue.rpy	666	"cop ""[what]"""
interrogation_end_1ac62a6d	cop	Then it's settled. A follow-up hearing will be scheduled in one year to document your progress.	game/prologue.rpy	672	"cop ""[what]"""
interrogation_end_bf51e3a0	cop	In the meantime, you will be appointed a guardian from the DVP to take care of you during your time in the program.	game/prologue.rpy	673	"cop ""[what]"""
interrogation_end_efac05da	cop	Your guardian is waiting.	game/prologue.rpy	679	"cop ""[what]"""
chapter1_day1_event2_205a3e19	d	All of you knew. You knew, and then you just show up here like nothing happened? How long were you planning to lie to us?	game/chapter_one_events.rpy	1177	"d ""[what]"""
DyreInv1_2f244d2e	d	Just trying to make the place a little more homey.	game/chapter_one_investigation.rpy	969	"d ""[what]"""
DyreInv1_ef22746d	d	It's also one of the few places without security cameras.	game/chapter_one_investigation.rpy	973	"d ""[what]"""
DyreInv1_f2abc95b	d	None of the teachers have time to come up here, so it's the perfect spot to set up shop. Metaphorically speaking that is.	game/chapter_one_investigation.rpy	974	"d ""[what]"""
DyreInv1_507c294b	d	Oooh, let me guess, you're playing detective and want to cross examine me as a witness.	game/chapter_one_investigation.rpy	981	"d ""[what]"""
DyreInv1_b3d98d1f	d	Are you going for a Sherlock vibe or Batman?	game/chapter_one_investigation.rpy	982	"d ""[what]"""
DyreInv1_506600ac	d	I'm just trying to figure out how long this is going to take.	game/chapter_one_investigation.rpy	986	"d ""[what]"""
DyreInv1_56cbb0db	d	No need to take it so personally.	game/chapter_one_investigation.rpy	987	"d ""[what]"""
DyreInterrogation1_4d0ea342	d	It was the first day of school; there was a bunch of 'get to know you' lectures and other nonsense.	game/chapter_one_investigation.rpy	995	"d ""[what]"""
DyreInterrogation1_0cab7796	d	Huge waste of time, but everyone saw me in class.	game/chapter_one_investigation.rpy	996	"d ""[what]"""
DyreInterrogation1_c33fef5e	d	There's no way I had the time to set all that up.	game/chapter_one_investigation.rpy	997	"d ""[what]"""
DyreInterrogation1_394ba3d5	d	I didn't say that.	game/chapter_one_investigation.rpy	1001	"d ""[what]"""
DyreInterrogation1_ed876654	d	I'm sure you've heard by now, but Kazz brought in a bunch of contraband into the school.	game/chapter_one_investigation.rpy	1005	"d ""[what]"""
DyreInterrogation1_2f0574e4	d	It's a bunch of tech stuff, which I wanted to be able to borrow, but he wouldn't shut up about having it.	game/chapter_one_investigation.rpy	1006	"d ""[what]"""
DyreInterrogation1_fcc47c45	d	So, I got worried it'd get confiscated or stolen.	game/chapter_one_investigation.rpy	1007	"d ""[what]"""
DyreInterrogation1_ab2e25b4	d	I had Genki hide his Echo in the recording booth when she was dropping off her club request form.	game/chapter_one_investigation.rpy	1011	"d ""[what]"""
DyreInterrogation1_ca3d960f	d	I thought it'd be funny to have him freak out for a bit just to have it be right under his nose.	game/chapter_one_investigation.rpy	1012	"d ""[what]"""
DyreInterrogation1_59d2c6ba	d	Y'know, teach him a lesson before he got his stuff taken away.	game/chapter_one_investigation.rpy	1013	"d ""[what]"""
DyreInterrogation1_38e71ddd	d	Turns out I was a little late for that.	game/chapter_one_investigation.rpy	1014	"d ""[what]"""
DyreInterrogation1_d68925a6	d	We don't know that. Any other club leader could have found it in there.	game/chapter_one_investigation.rpy	1018	"d ""[what]"""
DyreInterrogation1_75d9ace7	d	...that idiot.	game/chapter_one_investigation.rpy	1031	"d ""[what]"""
DyreInterrogation1_5f5f26f5	d	I was making a general statement.	game/chapter_one_investigation.rpy	1035	"d ""[what]"""
DyreInterrogation1_ac5f8f57	d	Whoever left without clearing their internet history is an idiot.	game/chapter_one_investigation.rpy	1036	"d ""[what]"""
DyreInterrogation1_f097a6ca	d	That many people want to start a club, hunh?	game/chapter_one_investigation.rpy	1043	"d ""[what]"""
DyreInterrogation1_20f4282f	d	No wonder Mariko's been so competitive with recruiting.	game/chapter_one_investigation.rpy	1044	"d ""[what]"""
DyreInterrogation1_09cbf269	d	Well, there's only four teachers, right?	game/chapter_one_investigation.rpy	1048	"d ""[what]"""
DyreInterrogation1_3d23a7a0	d	That means unless they have time, they'll only be able to supervise one club each.	game/chapter_one_investigation.rpy	1049	"d ""[what]"""
DyreInterrogation1_69965643	d	The first four to get enough members will probably be the only legitimate clubs this year.	game/chapter_one_investigation.rpy	1050	"d ""[what]"""
DyreInterrogation1_561d1b7e	d	Kazz already gave me a tour of the booth. I don't need a second.	game/chapter_one_investigation.rpy	1053	"d ""[what]"""
DyreInterrogation1_405aa0b1	d	Nope. That's what it's supposed to look like.	game/chapter_one_investigation.rpy	1057	"d ""[what]"""
DyreInterrogation1_369e9c53	d	You really had a hand in the riots, didn't you?	game/chapter_one_investigation.rpy	1068	"d ""[what]"""
DyreInterrogation1_da029efc	d	Forgive me for doubting, I just didn't want to believe it, even though the truth was so obvious.	game/chapter_one_investigation.rpy	1072	"d ""[what]"""
DyreInterrogation1_d4b5e52e	d	It's just so disappointing to see how low you've sunk.	game/chapter_one_investigation.rpy	1073	"d ""[what]"""
DyreInterrogation1_ecaf374c	d	You need to figure out real quick what you stand for or you're not going to like the results.	game/chapter_one_investigation.rpy	1077	"d ""[what]"""
DyreInterrogation1_70321a71	d	No one's going to wait around for you to make up your mind.	game/chapter_one_investigation.rpy	1078	"d ""[what]"""
DyreInterrogation1_38c3dc81	d	If you really believed that, you wouldn't be here.	game/chapter_one_investigation.rpy	1083	"d ""[what]"""
prologue_dyre_d42db12c	d	Tesuta, is that really you? What are the odds I'd find you here? I thought you were too smart for computers.	game/prologue.rpy	4918	"d ""[what]"""
prologue_dyre_8cb3c637	d	Now, is that any way to treat an old friend?	game/prologue.rpy	4924	"d ""[what]"""
prologue_dyre_3ea6ec2d	d	Would it really kill you to give people the benefit of doubt? I just wanted to talk.	game/prologue.rpy	4935	"d ""[what]"""
prologue_dyre_9fc7a615	d	After the riots, we didn't exactly get a list of survivors, no one knew where you went.	game/prologue.rpy	4936	"d ""[what]"""
prologue_dyre_bc4f52cc	d	...We just thought you were out sick. You ran away? Shit, man.	game/prologue.rpy	4938	"d ""[what]"""
prologue_dyre_cc43c825	d	I mean, you called out sick all the time.	game/prologue.rpy	4946	"d ""[what]"""
prologue_dyre_2824e767	d	Now that you mention it, Professor Kataki was the one who told us.	game/prologue.rpy	4953	"d ""[what]"""
prologue_dyre_f34ee8a4	d	We were wondering why a whole bunch of kids didn't show up, and he said they got strep.	game/prologue.rpy	4957	"d ""[what]"""
prologue_dyre_36533ca4	d	Next thing I know, the whole school's getting evacuated, teachers started going MIA, and kids were disappearing left and right.	game/prologue.rpy	4958	"d ""[what]"""
prologue_dyre_3a0c88f2	d	It was like something out of a horror movie.	game/prologue.rpy	4959	"d ""[what]"""
prologue_dyre_5e0cd0a3	d	Does that mean you're going to tell me the truth instead?	game/prologue.rpy	4963	"d ""[what]"""
prologue_dyre_44dbaf48	d	I keep asking you direct questions about that night, and you keep deflecting. Are you going to tell me what actually happened?	game/prologue.rpy	4967	"d ""[what]"""
prologue_dyre_4ebe7b01	d	What are you apologizing to me for? I don't care where you live, as long as you're okay.	game/prologue.rpy	4974	"d ""[what]"""
prologue_dyre_f57aedd7	d	There's a lot of weirdos out there that'd try to take advantage of a kid like you.	game/prologue.rpy	4975	"d ""[what]"""
prologue_dyre_ae93f3c7	d	Yeah, that's how I know.	game/prologue.rpy	4979	"d ""[what]"""
prologue_dyre_a20d2fe9	d	You got talked into all kinds of stuff when we were younger and you still won't let it go.	game/prologue.rpy	4980	"d ""[what]"""
prologue_dyre_28c8abc7	d	Oh really?	game/prologue.rpy	4984	"d ""[what]"""
prologue_dyre_d4882dc9	d	Well then, what about when you swore up and down that cow's milk stole calcium from your bones because you read it in some paper.	game/prologue.rpy	4985	"d ""[what]"""
prologue_dyre_e0680ef1	d	Yeah, with a PhD in Fine Arts.	game/prologue.rpy	4989	"d ""[what]"""
prologue_dyre_596f70bc	d	Hah! No way.	game/prologue.rpy	4993	"d ""[what]"""
prologue_dyre_68ffeb0e	d	But that's totally my point, you get all worked up and you don't take time to see the other side.	game/prologue.rpy	4994	"d ""[what]"""
prologue_dyre_30379c8b	d	It makes it way too easy to mess with you.	game/prologue.rpy	4995	"d ""[what]"""
prologue_dyre_34209eac	d	Stop? Where's the fun in that?	game/prologue.rpy	5001	"d ""[what]"""
prologue_dyre_e5b58c11	d	How the hell is that my fault?	game/prologue.rpy	5012	"d ""[what]"""
prologue_dyre_39231fb5	d	I'm not the one that threw a tantrum up in the principal's office. That was all you.	game/prologue.rpy	5013	"d ""[what]"""
prologue_dyre_f67c98b7	d	Do you have any idea how long she waited for you during the evacuation?	game/prologue.rpy	5017	"d ""[what]"""
prologue_dyre_de41f2af	d	I know Dr. Tesuta wasn't exactly the nicest teacher, but she refused to leave the shelter without you.	game/prologue.rpy	5018	"d ""[what]"""
prologue_dyre_eec3d0e1	d	Some kid's parents never showed up.	game/prologue.rpy	5019	"d ""[what]"""
prologue_dyre_ca70ebb8	d	Well, at least everything turned out okay for you.	game/prologue.rpy	5025	"d ""[what]"""
prologue_dyre_bc2f7901	d	It's kind of odd this place is locked up, don't you think?	game/prologue.rpy	5027	"d ""[what]"""
